YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 08 06 152 14.0 16.7  3.17  7.69  6.08 999 1007.2  11.9  11.9 999.0 99.0 99.00
2001 01 08 07 157 13.3 16.3  3.57  7.69  6.36 999 1007.4  11.9  11.9 999.0 99.0 99.00
2001 01 08 08 160 11.9 15.3  3.52  7.69  6.56 999 1007.7  11.8  11.8 999.0 99.0 99.00
2001 01 08 09 258  3.4  4.7  3.57  8.33  6.90 999 1008.5  11.9  11.7 999.0 99.0 99.00
2001 01 08 10 194  2.8  3.7  3.25  8.33  7.11 999 1008.9  11.6  11.5 999.0 99.0 99.00
2001 01 08 11 194  4.1  5.7  3.31  8.33  7.58 999 1009.1  11.7  11.5 999.0 99.0 99.00
2001 01 08 12 235  4.9  6.1  3.09  7.69  7.21 999 1009.1  12.1  11.9 999.0 99.0 99.00
2001 01 08 13 248  4.9  6.8  2.89  7.69  7.64 999 1009.6  12.3  12.0 999.0 99.0 99.00
2001 01 08 14 295  6.7  8.3  3.02  8.33  7.55 999 1010.1  11.7  12.1 999.0 99.0 99.00
2001 01 08 15 303  9.7 12.0  2.78  7.69  7.32 999 1010.8  11.6  12.1 999.0 99.0 99.00
2001 01 08 16 317 10.9 13.5  2.76  8.33  6.98 999 1011.7  11.1  12.1 999.0 99.0 99.00
2001 01 08 17 319 11.0 13.0 99.00 99.00 99.00 999 1012.7  11.9  12.1 999.0 99.0 99.00
2001 01 08 18 317 11.6 14.2  2.76 11.11  6.58 999 1013.6  11.9  12.0 999.0 99.0 99.00
2001 01 08 19 307 11.1 13.7  2.81 11.11  6.64 999 1014.2  11.9  12.0 999.0 99.0 99.00
2001 01 08 20 313 11.3 13.5  2.91 11.11  6.89 999 1014.3  11.7  12.0 999.0 99.0 99.00
2001 01 08 21 316 10.1 12.3  2.91 11.11  6.97 999 1014.1  11.7  12.0 999.0 99.0 99.00
2001 01 08 22 316 10.9 12.2  2.97 11.11  6.98 999 1014.0  11.7  12.0 999.0 99.0 99.00
2001 01 08 23 313 11.8 14.4 99.00 99.00 99.00 999 1014.2  11.6  11.9 999.0 99.0 99.00
2001 01 09 00 311 11.0 13.4  3.43 14.29  7.43 999 1014.6  11.6  11.9 999.0 99.0 99.00
2001 01 09 01 315 11.8 14.7  3.76 14.29  7.65 999 1014.7  11.5  11.9 999.0 99.0 99.00
2001 01 09 02 317 11.9 14.9  4.16 12.50  7.90 999 1015.1  11.4  11.9 999.0 99.0 99.00
2001 01 09 03 320 12.2 15.2  4.25 14.29  8.20 999 1014.9  11.4  11.8 999.0 99.0 99.00
2001 01 09 04 322 10.4 12.2  4.13 14.29  8.22 999 1015.5  11.3  11.8 999.0 99.0 99.00
2001 01 09 05 322 10.3 12.6  4.38 14.29  8.48 999 1015.6  11.2  11.7 999.0 99.0 99.00
2001 01 09 06 322 10.5 12.8  3.92 14.29  8.35 999 1015.0  11.1  11.7 999.0 99.0 99.00
