#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 04 10 50 999 11.2 15.1  2.59  8.33  5.77  14 1024.5 999.0  18.0 999.0 99.0 99.00
2012 01 04 11 50 999 10.3 14.4  2.33  6.67  5.70 350 1025.1 999.0  18.5 999.0 99.0 99.00
2012 01 04 12 50 999 11.0 14.0  2.48  7.69  5.63  10 1025.8 999.0  18.7 999.0 99.0 99.00
2012 01 04 13 50 999 10.2 12.9  2.47  7.69  5.79  18 1026.7 999.0  18.8 999.0 99.0 99.00
2012 01 04 14 50 999  8.7 11.6  2.20  6.67  5.50 355 1027.1 999.0  18.8 999.0 99.0 99.00
2012 01 04 15 50 999  7.8 11.0  2.33  7.69  5.78  13 1026.7 999.0  18.9 999.0 99.0 99.00
2012 01 04 16 50 999  7.7 12.1  2.12  7.69  5.55  18 1025.5 999.0  19.0 999.0 99.0 99.00
2012 01 04 17 50 999  7.1  9.1  1.89  6.67  5.39 345 1024.3 999.0  19.1 999.0 99.0 99.00
2012 01 04 18 50 999  7.8 10.8  1.80  7.69  5.46  18 1023.7 999.0  19.2 999.0 99.0 99.00
2012 01 04 19 50 999  4.9  7.5  1.62  6.67  5.24  10 1023.0 999.0  19.1 999.0 99.0 99.00
2012 01 04 20 50 999  5.3  8.0  1.57  7.14  5.51  27 1022.6 999.0  18.8 999.0 99.0 99.00
2012 01 04 21 50 999  5.9  9.6  1.48  7.14  5.50  22 1022.0 999.0  18.4 999.0 99.0 99.00
2012 01 04 22 50 999  8.0 10.3  1.28  6.25  5.15  20 1021.2 999.0  18.2 999.0 99.0 99.00
2012 01 04 23 50 999  8.0 10.6  1.17  6.67  4.88  25 1020.7 999.0  18.0 999.0 99.0 99.00
2012 01 05 00 50 999  9.3 11.3  1.19  6.67  4.65  19 1020.0 999.0  18.1 999.0 99.0 99.00
2012 01 05 01 50 999 10.7 12.9  1.20  4.35  4.41 219 1020.1 999.0  18.1 999.0 99.0 99.00
2012 01 05 02 50 999 11.9 15.7  1.53  4.76  4.60 225 1019.3 999.0  18.2 999.0 99.0 99.00
2012 01 05 03 50 999 12.1 14.6  1.54  5.26  4.60 223 1018.6 999.0  18.2 999.0 99.0 99.00
2012 01 05 04 50 999 12.9 15.6  1.81  5.88  4.93 218 1017.5 999.0  18.2 999.0 99.0 99.00
2012 01 05 05 50 999 12.2 15.3  1.94  6.25  5.12 218 1017.0 999.0  18.0 999.0 99.0 99.00
2012 01 05 06 50 999 11.8 14.3  1.90  5.88  5.09 227 1016.2 999.0  17.8 999.0 99.0 99.00
2012 01 05 07 50 999 12.1 14.1  1.86  6.25  5.09 217 1015.8 999.0  17.6 999.0 99.0 99.00
2012 01 05 08 50 999 10.2 12.8  1.71  5.56  4.79 225 1015.1 999.0  17.4 999.0 99.0 99.00
2012 01 05 09 50 999  9.3 11.6  1.63  5.56  4.86 220 1014.8 999.0  17.4 999.0 99.0 99.00
2012 01 05 10 50 999  8.1 10.6  1.71  5.88  4.87 221 1014.9 999.0  17.9 999.0 99.0 99.00
2012 01 05 11 50 999  8.3 10.7  1.48  5.26  4.61 241 1014.9 999.0  18.3 999.0 99.0 99.00
2012 01 05 12 50 999  7.3  9.3  1.39  5.00  4.66 241 1015.3 999.0  18.7 999.0 99.0 99.00
2012 01 05 13 50 999  6.6  9.1  1.33  4.35  4.54 266 1016.4 999.0  18.8 999.0 99.0 99.00
2012 01 05 14 50 999  6.1  7.7  1.19  4.76  4.46 247 1017.1 999.0  18.8 999.0 99.0 99.00
2012 01 05 15 50 999  5.6  7.7  1.17  4.35  4.73 266 1016.8 999.0  18.8 999.0 99.0 99.00
2012 01 05 16 50 999  4.4  6.1  1.07  6.25  4.68 178 1016.0 999.0  18.8 999.0 99.0 99.00
2012 01 05 17 50 999  4.2  6.6  0.99 11.43  4.80  44 1015.2 999.0  18.8 999.0 99.0 99.00
