YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 06 13 00  82  6.1  7.6  0.83  4.55  4.22 999 1022.6  -3.3   5.9  -6.3 99.0 99.00
2005 01 06 14 00  91  6.5  7.9  0.81 10.00  4.18 999 1022.1  -2.5   6.0  -4.7 99.0 99.00
2005 01 06 15 00  93  7.8  9.3  0.86  4.00  3.91 999 1022.0  -1.6   5.9  -3.9 99.0 99.00
2005 01 06 16 00 100  7.7  9.5  0.96  3.57  3.83 999 1021.0  -1.2   5.9  -3.4 99.0 99.00
2005 01 06 17 00 101  7.1  8.3  1.03  4.17  3.96 999 1019.0  -1.5   5.9  -3.4 99.0 99.00
2005 01 06 18 00  95  8.3 10.0  1.12  3.70  3.90 999 1017.4  -1.2   5.9  -3.1 99.0 99.00
2005 01 06 19 00  96  8.5 10.9  1.18  4.17  4.01 999 1016.7  -1.2   5.9  -2.7 99.0 99.00
2005 01 06 20 00  97  9.9 12.6  1.40  4.35  4.09 999 1016.2  -0.8   5.9  -1.8 99.0 99.00
2005 01 06 21 00  91 10.0 11.7  1.43  4.55  4.19 999 1014.5  -0.5   5.9  -2.2 99.0 99.00
2005 01 06 22 00 105 11.5 13.9  1.59  5.00  4.30 999 1012.7   0.9   6.0   0.4 99.0 99.00
2005 01 06 23 00 115 11.3 13.3  1.80  5.56  4.46 999 1011.7   2.0   6.0   1.8 99.0 99.00
2005 01 07 00 00 114 10.5 12.4  2.26  5.88  4.93 999 1010.2   3.1   6.0   2.7 99.0 99.00
2005 01 07 01 00 111  9.7 11.3  2.18  6.25  4.92 999 1009.2   3.4   5.9   3.2 99.0 99.00
2005 01 07 02 00  93  7.5  9.5  2.56  6.67  5.39 999 1006.8   4.2   5.9   4.0 99.0 99.00
2005 01 07 03 00  81  4.1  5.0  2.68  7.14  5.71 999 1006.7   4.4   5.9   4.2 99.0 99.00
2005 01 07 04 00   2  4.3  5.9  2.70  7.69  6.11 999 1006.5   4.4   5.9   4.3 99.0 99.00
2005 01 07 05 00 353  4.5  6.0  2.54  7.69  6.30 999 1006.6   4.4   5.9   4.3 99.0 99.00
2005 01 07 06 00 330  4.8  6.0  2.52  8.33  6.53 999 1006.6   4.4   5.9   4.2 99.0 99.00
2005 01 07 07 00 305  3.5  4.7  2.33  8.33  6.37 999 1006.7   3.8   5.9   3.6 99.0 99.00
2005 01 07 08 00 311  4.9  6.1  2.22  7.69  6.31 999 1007.0   2.4   5.9   2.2 99.0 99.00
2005 01 07 09 00 254  4.9  6.2  1.98  8.33  6.06 999 1007.3   2.8   5.9   2.6 99.0 99.00
2005 01 07 10 00 256  9.5 11.7  1.88  7.69  5.62 999 1007.8   2.3   5.9   2.1 99.0 99.00
2005 01 07 11 00 256 10.8 12.9  1.78  7.69  4.94 999 1008.5   2.0   5.9   1.5 99.0 99.00
2005 01 07 12 00 256 11.2 13.7  1.92  7.69  4.80 999 1009.3   2.5   5.9   1.6 99.0 99.00
2005 01 07 13 00 265 14.3 17.5  2.03  5.00  4.65 999 1009.7   3.9   5.9   0.2 99.0 99.00
2005 01 07 14 00 273 14.7 17.4  2.65  5.88  5.10 999 1011.6   3.6   5.9  -4.3 99.0 99.00
2005 01 07 15 00 280 14.1 17.4  2.69  6.25  5.21 999 1013.7   3.4   5.9  -2.4 99.0 99.00
2005 01 07 16 00 289 13.3 16.8  2.83  7.14  5.44 999 1014.9   3.3   5.9  -5.2 99.0 99.00
2005 01 07 17 00 287 12.3 15.4  2.75  7.14  5.56 999 1015.8   3.0   5.9  -3.2 99.0 99.00
2005 01 07 18 00 282 11.9 14.5  2.83  7.14  5.46 999 1016.6   3.1   5.9  -5.7 99.0 99.00
