#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 17 00 339 10.6 14.1  3.20  7.69  6.05 999 1028.3  -9.8   5.8 -11.6 99.0 99.00
2008 01 03 18 00 329 10.6 13.5  2.93  7.69  5.96 999 1028.8  -9.6   5.8 -12.6 99.0 99.00
2008 01 03 19 00 321  9.7 12.3  2.81  7.69  5.74 999 1029.1  -9.7   5.8 -11.4 99.0 99.00
2008 01 03 20 00 329  9.1 11.7  2.87  7.69  5.92 999 1029.8  -9.3   5.8 -12.6 99.0 99.00
2008 01 03 21 00 337  9.0 11.4  2.36  7.14  5.50 999 1030.1  -8.9   5.8 -12.0 99.0 99.00
2008 01 03 22 00 324  9.7 13.2  2.23  6.67  5.37 999 1031.3  -8.2   5.6 -12.1 99.0 99.00
2008 01 03 23 00 344  9.8 12.0  2.36  6.67  5.41 999 1032.0  -7.8   5.6 -11.0 99.0 99.00
2008 01 04 00 00 348  9.5 12.3  2.08  5.88  5.13 999 1032.9  -7.6   5.6 -10.6 99.0 99.00
2008 01 04 01 00 353  8.1 10.5  2.04  6.67  5.19 999 1033.2  -7.5   5.6 -11.6 99.0 99.00
2008 01 04 02 00 354  7.1  8.9  1.85  6.25  5.11 999 1033.4  -7.6   5.6 -11.6 99.0 99.00
2008 01 04 03 00 337  5.5  7.8  1.91  6.25  5.21 999 1033.7  -7.3   5.6 -12.1 99.0 99.00
2008 01 04 04 00 330  5.1  7.3  1.84  6.25  5.33 999 1033.9  -7.0   5.6 -11.1 99.0 99.00
2008 01 04 05 00 320  5.0  7.9  1.69  6.25  5.15 999 1033.9  -7.0   5.6 -12.3 99.0 99.00
2008 01 04 06 00 305  4.3  6.2  1.67  5.88  5.18 999 1033.6  -6.8   5.6 -11.7 99.0 99.00
2008 01 04 07 00 315  2.6  4.7  1.42  5.88  4.99 999 1034.1  -6.8   5.6 -13.0 99.0 99.00
2008 01 04 08 00 272  3.3  4.8  1.42  5.88  4.94 999 1034.1  -6.4   5.6 -11.0 99.0 99.00
2008 01 04 09 00 262  3.9  6.4  1.33  5.26  4.94 999 1033.5  -6.2   5.6 -11.1 99.0 99.00
2008 01 04 10 00 245  4.9  7.6  1.22  4.76  4.93 999 1032.8  -5.6   5.6 -10.0 99.0 99.00
2008 01 04 11 00 241  6.8  8.7  1.08  6.25  4.79 999 1032.9  -4.9   5.6  -8.7 99.0 99.00
2008 01 04 12 00 232  7.0  8.5  1.09  6.67  4.58 999 1032.0  -4.6   5.6  -8.6 99.0 99.00
2008 01 04 13 00 218  9.5 11.4  1.11  4.17  4.17 999 1031.3  -4.2   5.7  -8.3 99.0 99.00
2008 01 04 14 00 220 10.5 14.2 99.00 99.00 99.00 999 1031.1  -3.1   5.8  -8.4 99.0 99.00
2008 01 04 15 00 231 10.5 14.3  1.66  5.00  4.57 999 1030.5  -2.8   5.8  -9.1 99.0 99.00
2008 01 04 16 00 230 11.9 15.3  1.90  5.88  4.85 999 1029.2  -1.4   5.8  -7.1 99.0 99.00
2008 01 04 17 00 237 12.8 15.9  2.56  6.25  5.35 999 1028.2  -1.2   5.8  -5.2 99.0 99.00
2008 01 04 18 00 247 12.0 14.8  2.62  7.14  5.54 999 1027.0  -0.4   5.8  -5.1 99.0 99.00
2008 01 04 19 00 254 10.5 13.2  2.75  7.14  5.74 999 1026.7  -0.2   5.8  -6.1 99.0 99.00
2008 01 04 20 00 260 11.4 13.8  2.53  7.14  5.38 999 1026.5  -0.2   5.8  -6.2 99.0 99.00
2008 01 04 21 00 266  9.9 12.0  2.25  7.14  5.20 999 1026.7  -0.3   5.6  -5.7 99.0 99.00
2008 01 04 22 00 269  9.4 11.9  2.33  6.67  5.28 999 1026.8   0.0   5.6  -5.5 99.0 99.00
2008 01 04 23 00 264  9.2 12.0  2.12  6.25  5.12 999 1027.2   0.1   5.6  -5.9 99.0 99.00
2008 01 05 00 00 273  9.1 10.8  2.22  6.67  5.19 999 1027.3   0.4   5.8  -5.6 99.0 99.00
2008 01 05 01 00 269  9.2 11.4  2.07  5.88  5.01 999 1027.2   0.9   5.8  -4.6 99.0 99.00
2008 01 05 02 00 271  8.6 11.3  1.97  6.25  5.03 999 1027.2   1.2   5.6  -5.2 99.0 99.00
2008 01 05 03 00 261  8.4 10.3  1.82  6.25  4.94 999 1027.1   1.4   5.8  -4.4 99.0 99.00
2008 01 05 04 00 274  8.4 10.7  1.88  6.25  5.15 999 1026.9   1.4   5.6  -4.6 99.0 99.00
2008 01 05 05 00 258  8.3 10.2  1.94  6.25  5.16 999 1026.6   1.3   5.6  -4.7 99.0 99.00
2008 01 05 06 00 265  8.6 11.3  1.98  6.67  5.15 999 1026.1   1.2   5.5  -4.0 99.0 99.00
2008 01 05 07 00 262  8.8 11.1  2.18  6.25  5.15 999 1026.5   1.3   5.5  -4.7 99.0 99.00
2008 01 05 08 00 263  8.7 11.6  1.98  6.25  5.23 999 1026.6   1.4   5.5  -4.3 99.0 99.00
2008 01 05 09 00 268  8.7 10.8  1.82  6.25  4.96 999 1026.6   1.6   5.5  -3.8 99.0 99.00
2008 01 05 10 00 268  7.7  9.8  1.74  6.25  4.81 999 1026.9   1.4   5.5  -4.2 99.0 99.00
2008 01 05 11 00 272  6.6  7.7  1.73  5.88  4.89 999 1027.3   1.3   5.5  -4.5 99.0 99.00
2008 01 05 12 00 275  6.3  8.3  1.65  5.88  4.77 999 1027.2   1.5   5.5  -3.9 99.0 99.00
2008 01 05 13 00 265  5.8  7.3  1.55  5.88  4.86 999 1027.2   1.7   5.6  -4.0 99.0 99.00
2008 01 05 14 00 252  5.8  7.1  1.49  5.88  4.90 999 1027.3   2.0   5.6  -5.1 99.0 99.00
2008 01 05 15 00 252  5.4  7.4  1.50  5.88  4.88 999 1027.4   2.2   5.6  -4.3 99.0 99.00
