#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 22 00 211  2.3  3.7  0.00  0.00  0.00 999 1017.4   7.4   5.7  -4.3 99.0 99.00
2007 01 03 23 00 229  0.2  0.9  0.00  0.00  0.00 999 1017.9   6.7   5.8  -7.5 99.0 99.00
2007 01 04 00 00 174  0.2  0.9  0.00  0.00  0.00 999 1017.9   6.3   5.3  -6.6 99.0 99.00
2007 01 04 01 00 217  2.6  3.8  0.00  0.00  0.00 999 1017.9   7.0   5.5  -5.1 99.0 99.00
2007 01 04 02 00 220  4.4  6.0  0.00  0.00  0.00 999 1017.2   6.7   5.6  -5.1 99.0 99.00
2007 01 04 03 00 230  5.1  7.1  0.00  0.00  0.00 999 1016.8   6.4   5.5  -4.1 99.0 99.00
2007 01 04 04 00 235  4.9  6.8  0.00  0.00  0.00 999 1016.9   6.0   5.5  -3.0 99.0 99.00
2007 01 04 05 00 248  6.0  8.4  0.00  0.00  0.00 999 1016.5   6.2   5.2  -3.1 99.0 99.00
2007 01 04 06 00 261  2.9  4.1  0.00  0.00  0.00 999 1016.5   5.8   5.2  -1.7 99.0 99.00
2007 01 04 07 00 259  2.2  3.0  0.00  0.00  0.00 999 1016.5   5.6   5.0  -2.6 99.0 99.00
2007 01 04 08 00 254  2.4  3.5  0.00  0.00  0.00 999 1017.2   5.2   4.9  -3.5 99.0 99.00
2007 01 04 09 00 234  2.1  3.3  0.00  0.00  0.00 999 1017.2   4.9   5.1  -2.6 99.0 99.00
2007 01 04 10 00 217  0.4  1.0  0.00  0.00  0.00 999 1017.9   4.4   5.5  -2.8 99.0 99.00
2007 01 04 11 00 251  0.1  0.5  0.00  0.00  0.00 999 1017.9   3.9   5.5  -3.5 99.0 99.00
2007 01 04 12 00 152  0.3  0.8 99.00 99.00 99.00 999 1018.1   3.0   5.5  -4.0 99.0 99.00
2007 01 04 13 00 230  2.2  3.7  0.00  0.00  0.00 999 1018.7   3.5   5.5  -3.1 99.0 99.00
2007 01 04 14 00 235  2.3  3.2  0.00  0.00  0.00 999 1018.8   4.9   5.6  -2.7 99.0 99.00
2007 01 04 15 00 235  3.5  4.8  0.00  0.00  0.00 999 1018.8   6.3   5.2  -4.0 99.0 99.00
2007 01 04 16 00 218  3.8  5.6  0.00  0.00  0.00 999 1017.9   7.4   5.5  -4.7 99.0 99.00
2007 01 04 17 00 222  3.4  4.6  0.00  0.00  0.00 999 1016.6   7.0   5.4  -3.7 99.0 99.00
2007 01 04 18 00 210  3.9  5.3  0.00  0.00  0.00 999 1015.6   8.1   5.2  -3.5 99.0 99.00
2007 01 04 19 00 201  3.5  4.7  0.00  0.00  0.00 999 1015.0   8.0   5.2  -1.0 99.0 99.00
2007 01 04 20 00 188  1.3  2.3  0.00  0.00  0.00 999 1015.0   7.8   5.4  -0.5 99.0 99.00
2007 01 04 21 00 199  2.7  4.4  0.00  0.00  0.00 999 1015.0   8.2   5.6   1.2 99.0 99.00
2007 01 04 22 00 211  1.1  1.8  0.00  0.00  0.00 999 1015.0   7.0   5.9   0.7 99.0 99.00
2007 01 04 23 00 228  0.1  0.4  0.00  0.00  0.00 999 1015.4   5.5   5.9   0.9 99.0 99.00
2007 01 05 00 00 220  2.4  3.7  0.00  0.00  0.00 999 1015.0   6.7   5.9 999.0 99.0 99.00
2007 01 05 01 00 213  3.6  5.5  0.00  0.00  0.00 999 1014.8   7.4   5.6  -0.8 99.0 99.00
2007 01 05 02 00 235  2.5  3.8  0.00  0.00  0.00 999 1014.3   6.3   5.6  -0.3 99.0 99.00
2007 01 05 03 00 236  3.5  4.7  0.00  0.00  0.00 999 1014.2   6.0   5.6  -1.2 99.0 99.00
2007 01 05 04 00 232  3.0  4.4  0.00  0.00  0.00 999 1014.7   6.3   5.6  -1.4 99.0 99.00
2007 01 05 05 00 220  4.3  6.1 99.00 99.00 99.00 999 1013.8   7.0   5.6  -1.3 99.0 99.00
2007 01 05 06 00 244  2.5  3.5  0.00  0.00  0.00 999 1013.4   6.4   5.5  -0.7 99.0 99.00
2007 01 05 07 00 190  2.5  4.0  0.00  0.00  0.00 999 1013.5   6.1   5.2  -0.5 99.0 99.00
2007 01 05 08 00 208  1.6  2.4  0.00  0.00  0.00 999 1014.1   7.2   5.2   1.5 99.0 99.00
2007 01 05 09 00 245  0.9  1.3 99.00 99.00 99.00 999 1013.5   7.1   5.5   2.0 99.0 99.00
2007 01 05 10 00 175  1.2  2.1  0.00  0.00  0.00 999 1013.0   7.1   5.6   1.4 99.0 99.00
2007 01 05 11 00 232  0.8  1.8  0.00  0.00  0.00 999 1012.7   7.4   5.8   1.7 99.0 99.00
2007 01 05 12 00 212  1.5  2.5  0.00  0.00  0.00 999 1013.4   7.9   5.8   2.4 99.0 99.00
2007 01 05 13 00 192  3.7  4.9  0.00  0.00  0.00 999 1012.3   8.6   5.9   3.0 99.0 99.00
2007 01 05 14 00 197  3.2  5.2  0.00  0.00  0.00 999 1011.9   8.7   5.9   4.9 99.0 99.00
2007 01 05 15 00 201  5.3  7.2  0.00  0.00  0.00 999 1010.9   9.2   5.9   6.8 99.0 99.00
2007 01 05 16 00 199  5.8  7.4  0.00  0.00  0.00 999 1009.4   9.6   5.9   7.7 99.0 99.00
2007 01 05 17 00 223  3.3  4.6 99.00 99.00 99.00 999 1008.8  10.5   6.0   8.6 99.0 99.00
2007 01 05 18 00 225  1.3  1.8  0.00  0.00  0.00 999 1008.6  11.7   6.0   9.3 99.0 99.00
2007 01 05 19 00 101  0.3  1.3  0.00  0.00  0.00 999 1008.6  12.1   6.2   9.4 99.0 99.00
2007 01 05 20 00 177  2.5  3.8  0.00  0.00  0.00 999 1009.1  11.9   6.3   9.5 99.0 99.00
2007 01 05 21 00 180  2.9  3.7  0.00  0.00  0.00 999 1009.4  11.0   6.3   8.5 99.0 99.00
2007 01 05 22 00 205  1.0  2.6  0.00  0.00  0.00 999 1010.2  10.8   6.3   8.8 99.0 99.00
2007 01 05 23 00 187  2.0  3.5  0.00  0.00  0.00 999 1010.4  12.3   6.3   9.9 99.0 99.00
2007 01 06 00 00 195  1.9  3.2  0.00  0.00  0.00 999 1010.4  12.7   6.3  10.3 99.0 99.00
2007 01 06 01 00 193  2.7  3.7  0.00  0.00  0.00 999 1010.3  12.5   6.3  10.3 99.0 99.00
2007 01 06 02 00 222  1.0  2.8  0.00  0.00  0.00 999 1010.3  11.2   6.3   9.7 99.0 99.00
2007 01 06 03 00 203  2.1  3.0  0.00  0.00  0.00 999 1009.6  11.1   6.3   9.9 99.0 99.00
2007 01 06 04 00 204  2.8  3.7  0.00  0.00  0.00 999 1009.6  11.0   6.4  10.1 99.0 99.00
2007 01 06 05 00 203  0.3  0.8  0.00  0.00  0.00 999 1008.6  11.1   6.4  10.4 99.0 99.00
