YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 05 01 999 99.0 99.0  1.41  5.26  4.36 999 1031.3   7.4  22.0 999.0 99.0
1999 01 05 02 999 99.0 99.0  1.52  5.56  4.48 999 1031.9   7.4  22.0 999.0 99.0
1999 01 05 03 999 99.0 99.0  1.55  5.56  4.57 999 1032.1   7.2  22.0 999.0 99.0
1999 01 05 04 999 99.0 99.0  1.54  5.26  4.52 999 1032.8   7.2  21.9 999.0 99.0
1999 01 05 05 999 99.0 99.0  1.55  5.56  4.55 999 1033.0   7.2  21.9 999.0 99.0
1999 01 05 06 999 99.0 99.0  1.65  5.88  4.64 999 1033.0   7.1  21.9 999.0 99.0
1999 01 05 07 999 99.0 99.0  1.71  5.56  4.64 999 1033.0   6.7  21.9 999.0 99.0
1999 01 05 08 999 99.0 99.0  1.53  5.56  4.58 999 1032.9   6.1  21.9 999.0 99.0
1999 01 05 09 999 99.0 99.0  1.42  5.56  4.40 999 1033.4   5.6  21.9 999.0 99.0
1999 01 05 10 999 99.0 99.0  1.30  5.26  4.36 999 1033.4   5.2  21.9 999.0 99.0
1999 01 05 11 999 99.0 99.0  1.30  5.56  4.36 999 1033.8   4.8  21.9 999.0 99.0
1999 01 05 12 999 99.0 99.0  1.32  5.26  4.30 999 1034.1   4.7  21.9 999.0 99.0
1999 01 05 13 999 99.0 99.0  1.36  5.56  4.44 999 1034.5   4.6  21.9 999.0 99.0
1999 01 05 14 999 99.0 99.0  1.29  5.26  4.45 999 1035.2   4.4  21.9 999.0 99.0
1999 01 05 15 999 99.0 99.0  1.22  4.76  4.38 999 1035.9   4.6  21.9 999.0 99.0
1999 01 05 16 999 99.0 99.0  1.13  5.26  4.24 999 1036.1   4.5  21.9 999.0 99.0
1999 01 05 17 999 99.0 99.0  1.08  5.00  4.27 999 1035.4   4.6  21.9 999.0 99.0
1999 01 05 18 999 99.0 99.0  1.08  5.26  4.36 999 1034.5   4.8  21.9 999.0 99.0
1999 01 05 19 999 99.0 99.0  1.03  5.26  4.35 999 1033.2   4.7  21.9 999.0 99.0
1999 01 05 20 999 99.0 99.0   .99  5.00  4.37 999 1032.1   5.2  21.9 999.0 99.0
1999 01 05 21 999 99.0 99.0   .90  5.88  4.41 999 1032.0   5.8  21.9 999.0 99.0
1999 01 05 22 999 99.0 99.0   .81  5.26  4.34 999 1032.0   6.3  21.9 999.0 99.0
1999 01 05 23 999 99.0 99.0   .77  5.88  4.37 999 1032.0   6.9  21.9 999.0 99.0
1999 01 06 00 999 99.0 99.0   .71  5.56  4.30 999 1031.4   7.3  21.9 999.0 99.0
1999 01 06 01 999 99.0 99.0   .61  5.56  4.16 999 1031.6   7.8  21.4 999.0 99.0
1999 01 06 02 999 99.0 99.0   .62  5.56  4.16 999 1031.5   8.2  21.4 999.0 99.0
1999 01 06 03 999 99.0 99.0   .53  5.56  4.08 999 1031.6   8.7  21.3 999.0 99.0
1999 01 06 04 999 99.0 99.0   .49  5.26  4.05 999 1031.7   9.2  21.2 999.0 99.0
1999 01 06 05 999 99.0 99.0   .47  5.00  3.99 999 1030.5   9.8  21.2 999.0 99.0
1999 01 06 06 999 99.0 99.0   .43  4.76  3.90 999 1029.8  10.4  21.1 999.0 99.0
1999 01 06 07 999 99.0 99.0   .45  4.35  3.72 999 1029.0  11.1  21.1 999.0 99.0
1999 01 06 08 999 99.0 99.0   .47  4.55  3.56 999 1028.5  11.4  21.1 999.0 99.0
1999 01 06 09 999 99.0 99.0   .52  3.57  3.45 999 1028.5  11.7  21.1 999.0 99.0
1999 01 06 10 999 99.0 99.0   .50  3.12  3.50 999 1028.8  12.1  21.1 999.0 99.0
1999 01 06 11 999 99.0 99.0   .50  3.23  3.47 999 1029.7  12.5  21.1 999.0 99.0
1999 01 06 12 999 99.0 99.0   .48  3.45  3.51 999 1030.3  12.8  21.1 999.0 99.0
1999 01 06 13 999 99.0 99.0   .47  3.57  3.54 999 1030.6  13.3  20.7 999.0 99.0
1999 01 06 14 999 99.0 99.0   .45  3.70  3.62 999 1030.0  13.6  20.7 999.0 99.0
1999 01 06 15 999 99.0 99.0   .46  4.17  3.65 999 1030.3  14.3  20.6 999.0 99.0
1999 01 06 16 999 99.0 99.0   .52  3.70  3.48 999 1029.6  14.8  20.6 999.0 99.0
1999 01 06 17 999 99.0 99.0   .57  3.85  3.39 999 1029.7  15.1  20.6 999.0 99.0
1999 01 06 18 999 99.0 99.0   .65  3.45  3.46 999 1028.4  15.2  20.6 999.0 99.0
1999 01 06 19 999 99.0 99.0   .72  3.70  3.54 999 1027.3  15.6  20.6 999.0 99.0
1999 01 06 20 999 99.0 99.0   .74  4.00  3.63 999 1026.8  15.7  20.6 999.0 99.0
1999 01 06 21 999 99.0 99.0   .82  4.35  3.80 999 1026.0  16.0  20.6 999.0 99.0
1999 01 06 22 999 99.0 99.0   .83  4.35  3.84 999 1025.8  16.4  20.6 999.0 99.0
1999 01 06 23 999 99.0 99.0   .85  4.35  3.82 999 1025.9  16.7  20.6 999.0 99.0
1999 01 07 00 999 99.0 99.0   .82  4.17  3.86 999 1026.7  16.8  20.6 999.0 99.0
1999 01 07 01 999 99.0 99.0   .87  4.35  3.85 999 1026.8  17.2  20.6 999.0 99.0
1999 01 07 02 999 99.0 99.0   .82  4.35  3.81 999 1026.5  17.2  20.6 999.0 99.0
1999 01 07 03 999 99.0 99.0   .89  4.35  3.88 999 1026.7  17.3  20.6 999.0 99.0
1999 01 07 04 999 99.0 99.0   .82  4.35  3.90 999 1026.7  17.6  20.7 999.0 99.0
1999 01 07 05 999 99.0 99.0   .89  4.35  3.88 999 1026.3  17.8  21.1 999.0 99.0
1999 01 07 06 999 99.0 99.0   .91  4.17  3.86 999 1025.8  18.0  21.1 999.0 99.0
1999 01 07 07 999 99.0 99.0   .97  4.55  4.00 999 1025.8  18.2  21.2 999.0 99.0
1999 01 07 08 999 99.0 99.0   .99  4.55  4.03 999 1025.7  18.3  21.2 999.0 99.0
1999 01 07 09 999 99.0 99.0   .97  4.35  4.08 999 1025.8  18.4  21.3 999.0 99.0
1999 01 07 10 999 99.0 99.0   .99  4.55  4.11 999 1025.2  18.6  21.4 999.0 99.0
1999 01 07 11 999 99.0 99.0   .96  4.76  4.08 999 1025.4  18.5  21.4 999.0 99.0
1999 01 07 12 999 99.0 99.0  1.09  4.76  4.22 999 1025.8  18.4  21.4 999.0 99.0
1999 01 07 13 999 99.0 99.0   .99  4.55  4.16 999 1026.5  18.7  21.4 999.0 99.0
1999 01 07 14 999 99.0 99.0  1.00  4.76  4.28 999 1026.8  18.8  21.4 999.0 99.0
1999 01 07 15 999 99.0 99.0   .95  4.76  4.24 999 1027.2  18.8  21.4 999.0 99.0
1999 01 07 16 999 99.0 99.0   .94  4.55  4.26 999 1027.4  19.1  21.5 999.0 99.0
1999 01 07 17 999 99.0 99.0   .91  4.76  4.24 999 1027.0  19.1  21.5 999.0 99.0
1999 01 07 18 999 99.0 99.0   .92  4.35  4.17 999 1026.0  19.3  21.5 999.0 99.0
1999 01 07 19 999 99.0 99.0   .90  4.35  4.07 999 1025.2  19.5  21.5 999.0 99.0
1999 01 07 20 999 99.0 99.0   .87  4.76  3.99 999 1024.3  19.6  21.5 999.0 99.0
1999 01 07 21 999 99.0 99.0   .85  4.76  4.01 999 1024.0  19.6  21.5 999.0 99.0
1999 01 07 22 999 99.0 99.0   .86  4.76  3.93 999 1023.6  19.7  21.5 999.0 99.0
1999 01 07 23 999 99.0 99.0   .88  5.00  4.05 999 1023.5  19.6  21.5 999.0 99.0
1999 01 08 00 999 99.0 99.0   .92  4.55  4.00 999 1023.5  19.7  21.4 999.0 99.0
1999 01 08 01 999 99.0 99.0  1.04  4.76  4.13 999 1023.5  19.8  21.4 999.0 99.0
1999 01 08 02 999 99.0 99.0  1.02  4.76  4.13 999 1023.4  19.9  21.5 999.0 99.0
1999 01 08 03 999 99.0 99.0  1.09  4.76  4.08 999 1023.1  20.4  21.5 999.0 99.0
1999 01 08 04 999 99.0 99.0  1.16  5.00  4.15 999 1022.7  20.4  21.5 999.0 99.0
1999 01 08 05 999 99.0 99.0  1.30  5.00  4.31 999 1022.5  20.4  21.5 999.0 99.0
1999 01 08 06 999 99.0 99.0  1.39  5.26  4.58 999 1022.0  20.4  21.5 999.0 99.0
1999 01 08 07 999 99.0 99.0  1.59  5.56  4.64 999 1021.2  20.5  21.5 999.0 99.0
1999 01 08 08 999 99.0 99.0  1.66  5.88  4.72 999 1021.0  20.7  21.7 999.0 99.0
1999 01 08 09 999 99.0 99.0  1.54  5.56  4.68 999 1020.5  20.7  21.8 999.0 99.0
1999 01 08 10 999 99.0 99.0  1.54  5.26  4.63 999 1020.2  21.1  21.5 999.0 99.0
1999 01 08 11 999 99.0 99.0  1.43  5.88  4.65 999 1019.9  21.1  21.5 999.0 99.0
1999 01 08 12 999 99.0 99.0  1.40  5.56  4.64 999 1020.1  21.1  21.4 999.0 99.0
1999 01 08 13 999 99.0 99.0  1.42  5.56  4.66 999 1020.5  21.1  21.2 999.0 99.0
1999 01 08 14 999 99.0 99.0  1.49  5.56  4.75 999 1020.5  21.1  21.2 999.0 99.0
1999 01 08 15 999 99.0 99.0  1.35  5.88  4.64 999 1021.2  21.2  21.2 999.0 99.0
1999 01 08 16 999 99.0 99.0  1.51  5.56  4.72 999 1020.8  21.4  21.2 999.0 99.0
1999 01 08 17 999 99.0 99.0  1.42  5.88  4.70 999 1020.1  21.5  21.2 999.0 99.0
1999 01 08 18 999 99.0 99.0  1.31  5.88  4.61 999 1018.9  21.9  21.2 999.0 99.0
1999 01 08 19 999 99.0 99.0  1.19  5.56  4.51 999 1018.0  21.9  21.2 999.0 99.0
1999 01 08 20 999 99.0 99.0  1.26  5.88  4.65 999 1017.2  21.9  21.3 999.0 99.0
1999 01 08 21 999 99.0 99.0  1.25  6.25  4.82 999 1016.5  21.9  21.3 999.0 99.0
1999 01 08 22 999 99.0 99.0  1.25  5.88  4.91 999 1015.8  22.0  21.4 999.0 99.0
1999 01 08 23 999 99.0 99.0  1.21  5.88  4.66 999 1015.9  21.9  21.4 999.0 99.0
1999 01 09 00 999 99.0 99.0  1.44  5.88  5.04 999 1015.8  21.9  21.4 999.0 99.0
1999 01 09 01 999 99.0 99.0  1.57  6.67  5.07 999 1015.8  21.9  21.2 999.0 99.0
1999 01 09 02 999 99.0 99.0  1.47  6.25  5.07 999 1015.6  21.9  21.2 999.0 99.0
1999 01 09 03 999 99.0 99.0  1.67  7.14  5.30 999 1015.8  21.9  21.2 999.0 99.0
1999 01 09 04 999 99.0 99.0  1.85  7.14  5.46 999 1015.0  21.9  21.2 999.0 99.0
