#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 04 04 50 111  5.6  8.7  1.15  5.56  4.59  75 9999.0  11.7  21.2   0.9 99.0 99.00
2008 01 04 05 50 112  7.3 10.3  1.07  5.88  4.59  76 9999.0  11.7  21.1   1.3 99.0 99.00
2008 01 04 06 50 123  5.3  7.9  1.09  6.67  4.71  97 9999.0  12.1  21.1   0.2 99.0 99.00
2008 01 04 07 50 119  5.5  7.3  1.02  6.67  4.68  94 9999.0  12.2  21.1   1.3 99.0 99.00
2008 01 04 08 50  93  6.2  8.9  1.03  7.14  4.54 103 9999.0  12.5  21.1   2.2 99.0 99.00
2008 01 04 09 50 117  6.2  8.0  1.04  6.25  4.62  96 9999.0  12.6  21.2   1.5 99.0 99.00
2008 01 04 10 50  71  4.9  7.8  1.03  5.26  4.56  94 9999.0  12.6  21.4   2.6 99.0 99.00
2008 01 04 11 50  96  5.9  8.3  1.03  5.56  4.61 100 9999.0  13.3  21.4   2.8 99.0 99.00
2008 01 04 12 50 105  5.3  7.8  1.05  5.56  4.56 114 9999.0  13.3  21.4   0.6 99.0 99.00
2008 01 04 13 50  98  6.8  9.2 99.00 99.00 99.00 999 9999.0  14.1  21.4   2.9 99.0 99.00
2008 01 04 14 50  81  5.7  7.9  1.04  5.88  4.58 109 9999.0  14.4  21.5   4.0 99.0 99.00
2008 01 04 15 50  80  5.6  8.0  1.04  6.25  4.55 114 9999.0  14.5  21.5   6.1 99.0 99.00
2008 01 04 16 50 111  7.3 10.1  1.05  6.25  4.49 110 9999.0  14.9  21.5   4.2 99.0 99.00
2008 01 04 17 50 100  7.6  9.7  1.16  6.25  4.53 112 9999.0  14.9  21.5   5.2 99.0 99.00
2008 01 04 18 50  84  7.8 10.0  1.35  6.25  4.68 111 9999.0  14.9  21.5   6.5 99.0 99.00
2008 01 04 19 50  78  7.5 10.1  1.25  5.26  4.56 104 9999.0  15.0  21.5   7.3 99.0 99.00
2008 01 04 20 50  81  8.6 10.4  1.30  4.76  4.51 100 9999.0  14.9  21.5   7.1 99.0 99.00
2008 01 04 21 50  85  8.5 10.7  1.28  6.25  4.53 100 9999.0  15.0  21.5   7.7 99.0 99.00
2008 01 04 22 50  85  8.7 11.0  1.57  5.88  4.71 101 9999.0  15.1  21.5   8.1 99.0 99.00
2008 01 04 23 50  79 10.5 12.4  1.66  6.25  4.90  89 9999.0  14.9  21.5   7.8 99.0 99.00
2008 01 05 00 50  87 10.3 13.2  1.79  5.88  4.83  93 9999.0  15.3  21.5   8.6 99.0 99.00
2008 01 05 01 50  91 11.0 13.7  1.87  6.67  5.09  91 9999.0  15.6  21.4   9.4 99.0 99.00
2008 01 05 02 50 107 10.6 12.7  1.97  6.67  5.07  94 9999.0  16.5  21.4   9.5 99.0 99.00
2008 01 05 03 50 108 10.4 12.0  2.13  6.67  5.17 102 9999.0  16.4  21.4   9.4 99.0 99.00
2008 01 05 04 50 106 10.3 12.8  2.06  6.67  5.30  96 9999.0  16.5  21.4   9.7 99.0 99.00
2008 01 05 05 50 117 10.1 12.0  2.04  5.88  5.09  91 9999.0  17.2  21.6  10.8 99.0 99.00
2008 01 05 06 50 121 10.0 11.6  2.11  6.67  5.14  99 9999.0  17.6  21.9   9.6 99.0 99.00
2008 01 05 07 50 120  8.9 10.9  1.71  6.67  4.92  98 9999.0  17.5  21.9  10.8 99.0 99.00
2008 01 05 08 50 106  7.3  9.8  1.54  5.26  4.91 105 9999.0  17.9  21.9  12.0 99.0 99.00
2008 01 05 09 50 119  8.3 10.3  1.67  6.67  5.12 110 9999.0  18.2  21.9  10.0 99.0 99.00
2008 01 05 10 50 126  8.9 10.8  1.59  6.67  4.94 107 9999.0  18.7  21.9  11.7 99.0 99.00
2008 01 05 11 50 124  8.1  9.7  1.76  6.25  5.02 121 9999.0  19.0  21.9  10.6 99.0 99.00
2008 01 05 12 50 133  9.5 11.4  1.58  6.67  4.98 113 9999.0  19.4  21.9  10.6 99.0 99.00
2008 01 05 13 50 133  9.4 11.0  1.71  6.25  5.07 112 9999.0  19.6  21.9  10.7 99.0 99.00
2008 01 05 14 50 138  8.7 10.7  1.69  6.25  4.99 111 9999.0  19.8  21.9  10.2 99.0 99.00
2008 01 05 15 50 130  9.8 11.5  1.78  6.67  5.04 112 9999.0  20.3  21.9   9.2 99.0 99.00
2008 01 05 16 50 138  9.2 10.7  1.79  6.25  5.09 122 9999.0  20.5  21.9  10.6 99.0 99.00
2008 01 05 17 50 133  8.8 10.0  2.02  7.14  5.17 148 9999.0  20.4  21.9  12.1 99.0 99.00
2008 01 05 18 50 133  9.4 11.0  1.96  6.25  5.29 119 9999.0  20.4  21.9  12.9 99.0 99.00
2008 01 05 19 50 135  9.2 10.9  1.96  6.67  5.37 123 9999.0  20.4  21.9  13.4 99.0 99.00
2008 01 05 20 50 144  8.8 10.6  2.05  7.14  5.37 136 9999.0  20.4  21.9  12.4 99.0 99.00
2008 01 05 22 50 142  8.5 10.3  2.04  6.67  5.32 124 9999.0  20.4  21.9  12.4 99.0 99.00
2008 01 05 23 50 143  8.7 10.2  1.96  6.67  5.38 119 9999.0  20.6  21.9  12.6 99.0 99.00
2008 01 06 00 50 143  8.1  9.7  2.01 99.00 99.00 122 9999.0  20.6  21.9  13.3 99.0 99.00
2008 01 06 01 50 154  8.7 10.0  1.97  6.67  5.34 128 9999.0  20.6  21.9  12.7 99.0 99.00
2008 01 06 02 50 149  8.7 10.3  1.78  7.14  5.29 128 9999.0  20.6  21.5  12.9 99.0 99.00
2008 01 06 03 50 149  8.6 10.3  1.93  6.67  5.26 127 9999.0  20.7  21.4  13.1 99.0 99.00
2008 01 06 04 50 151  8.9 10.4  1.93  6.67  5.19 128 9999.0  20.7  21.5  12.4 99.0 99.00
2008 01 06 05 50 159  8.3 10.3  1.85  6.25  5.19 136 9999.0  20.9  21.5  12.8 99.0 99.00
2008 01 06 06 50 154  8.5 10.5  1.89  6.67  5.37 136 9999.0  20.8  21.9  13.0 99.0 99.00
2008 01 06 07 50 159  8.3  9.9  1.84  6.67  5.35 129 9999.0  20.8  21.9  13.4 99.0 99.00
2008 01 06 08 50 158  8.2  9.9  1.76  6.67  5.35 134 9999.0  20.7  21.9  13.3 99.0 99.00
2008 01 06 09 50 160  7.4  9.0  1.67  7.14  5.11 136 9999.0  21.1  21.7  13.0 99.0 99.00
2008 01 06 10 50 165  6.4  7.8  1.64  6.25  5.09 132 9999.0  21.2  21.5  14.2 99.0 99.00
2008 01 06 11 50 158  6.9  8.3  1.58  7.14  5.14 147 9999.0  21.2  21.4  13.6 99.0 99.00
2008 01 06 12 50 157  6.6  8.0  1.47  6.25  5.09 128 9999.0  21.2  21.2  13.3 99.0 99.00
2008 01 06 13 50 160  6.3  7.5  1.51  6.67  5.20 146 9999.0  21.4  21.2  13.2 99.0 99.00
2008 01 06 14 50 152  6.5  7.5  1.44  6.25  5.28 137 9999.0  21.4  21.1  14.0 99.0 99.00
2008 01 06 15 50 156  6.8  8.1  1.40  5.88  5.09 124 9999.0  21.4  20.4  13.7 99.0 99.00
